video_id,frame_index,time_sec,instance_id,score,x1,y1,x2,y2,mask_path,crop_path
000,0,0.00,1,0.8631,173,179,268,571,masks/000000_001.png,crops/000000_001.jpg
000,0,0.00,2,0.8610,229,184,298,574,masks/000000_002.png,crops/000000_002.jpg
000,0,0.00,3,0.8618,262,183,322,571,masks/000000_003.png,crops/000000_003.jpg
000,0,0.00,4,0.7382,286,149,338,578,masks/000000_004.png,crops/000000_004.jpg
000,0,0.00,5,0.8109,302,148,355,576,masks/000000_005.png,crops/000000_005.jpg
000,0,0.00,6,0.8540,331,184,388,563,masks/000000_006.png,crops/000000_006.jpg
000,0,0.00,7,0.6907,367,232,408,558,masks/000000_007.png,crops/000000_007.jpg
000,0,0.00,8,0.8824,385,182,431,566,masks/000000_008.png,crops/000000_008.jpg
000,0,0.00,9,0.8326,411,220,455,562,masks/000000_009.png,crops/000000_009.jpg
000,0,0.00,10,0.7338,439,233,477,563,masks/000000_010.png,crops/000000_010.jpg
000,0,0.00,11,0.9163,451,149,501,576,masks/000000_011.png,crops/000000_011.jpg
000,0,0.00,12,0.8943,476,148,526,576,masks/000000_012.png,crops/000000_012.jpg
000,0,0.00,13,0.8240,505,194,552,573,masks/000000_013.png,crops/000000_013.jpg
000,0,0.00,14,0.7513,537,239,571,569,masks/000000_014.png,crops/000000_014.jpg
000,0,0.00,15,0.9120,557,182,598,565,masks/000000_015.png,crops/000000_015.jpg
000,0,0.00,16,0.8873,588,182,628,565,masks/000000_016.png,crops/000000_016.jpg
000,0,0.00,17,0.8990,624,195,655,564,masks/000000_017.png,crops/000000_017.jpg
000,0,0.00,18,0.8692,654,187,679,567,masks/000000_018.png,crops/000000_018.jpg
000,0,0.00,19,0.9143,678,195,714,573,masks/000000_019.png,crops/000000_019.jpg
000,0,0.00,20,0.8972,709,187,741,573,masks/000000_020.png,crops/000000_020.jpg
000,0,0.00,21,0.9268,734,152,774,574,masks/000000_021.png,crops/000000_021.jpg
000,0,0.00,22,0.8304,763,220,801,572,masks/000000_022.png,crops/000000_022.jpg
000,0,0.00,23,0.7795,789,148,823,574,masks/000000_023.png,crops/000000_023.jpg
000,0,0.00,24,0.7529,804,203,840,572,masks/000000_024.png,crops/000000_024.jpg
000,0,0.00,25,0.9168,824,155,877,573,masks/000000_025.png,crops/000000_025.jpg
000,0,0.00,26,0.9075,855,154,912,572,masks/000000_026.png,crops/000000_026.jpg
000,0,0.00,27,0.7962,887,201,932,561,masks/000000_027.png,crops/000000_027.jpg
000,0,0.00,28,0.7842,907,224,971,563,masks/000000_028.png,crops/000000_028.jpg
000,0,0.00,29,0.9010,944,179,1004,562,masks/000000_029.png,crops/000000_029.jpg
000,0,0.00,30,0.8474,972,213,1029,555,masks/000000_030.png,crops/000000_030.jpg
000,0,0.00,31,0.7876,997,225,1057,551,masks/000000_031.png,crops/000000_031.jpg
000,0,0.00,32,0.8753,1024,227,1089,553,masks/000000_032.png,crops/000000_032.jpg
000,0,0.00,33,0.8350,1051,226,1120,555,masks/000000_033.png,crops/000000_033.jpg
000,0,0.00,34,0.8368,1081,195,1156,557,masks/000000_034.png,crops/000000_034.jpg
000,0,0.00,35,0.8248,1108,175,1182,557,masks/000000_035.png,crops/000000_035.jpg
000,0,0.00,36,0.8282,1128,171,1205,555,masks/000000_036.png,crops/000000_036.jpg
000,1,0.33,1,0.8357,185,185,274,576,masks/000001_001.png,crops/000001_001.jpg
000,1,0.33,2,0.8663,238,189,304,578,masks/000001_002.png,crops/000001_002.jpg
000,1,0.33,3,0.8697,270,189,327,575,masks/000001_003.png,crops/000001_003.jpg
000,1,0.33,4,0.7292,295,155,344,582,masks/000001_004.png,crops/000001_004.jpg
000,1,0.33,5,0.8085,311,155,360,580,masks/000001_005.png,crops/000001_005.jpg
000,1,0.33,6,0.8801,339,190,393,568,masks/000001_006.png,crops/000001_006.jpg
000,1,0.33,7,0.7129,374,237,414,563,masks/000001_007.png,crops/000001_007.jpg
000,1,0.33,8,0.8734,393,187,436,571,masks/000001_008.png,crops/000001_008.jpg
000,1,0.33,9,0.8500,419,225,460,566,masks/000001_009.png,crops/000001_009.jpg
000,1,0.33,10,0.7535,446,238,482,569,masks/000001_010.png,crops/000001_010.jpg
000,1,0.33,11,0.9072,459,155,505,581,masks/000001_011.png,crops/000001_011.jpg
000,1,0.33,12,0.9002,483,155,530,581,masks/000001_012.png,crops/000001_012.jpg
000,1,0.33,13,0.8613,513,199,557,577,masks/000001_013.png,crops/000001_013.jpg
000,1,0.33,14,0.7255,544,244,575,575,masks/000001_014.png,crops/000001_014.jpg
000,1,0.33,15,0.9211,563,189,602,570,masks/000001_015.png,crops/000001_015.jpg
000,1,0.33,16,0.9106,594,187,632,569,masks/000001_016.png,crops/000001_016.jpg
